id id_2
1 21708
1 22208
1 22171
1 6829
1 16590
1 20135
1 8894
1 15785
1 10281
1 22265
1 7136
1 22405
1 10379
1 13737
1 8533
1 14344
1 2812
1 5755
1 16260
1 15026
1 17370
1 17460
1 8049
1 5307
1 4987
1 18304
1 19743
1 20024
1 21729
1 10554
1 5228
1 9934
3 5826
3 3479
3 19753
3 17346
3 10945
3 11319
3 9654
8 13872
8 14205
8 3975
9 2773
9 14497
10 14
10 13511
12 4683
12 21430
12 18391
12 18059
12 6008
12 19356
13 1744
13 395
13 16399
13 2280
13 7235
13 213
13 7431
13 501
13 11971
13 16282
13 11209
13 1494
13 12762
13 4253
14 2904
14 18062
14 6037
14 3848
14 11034
14 5458
14 15323
14 18512
14 5822
14 1041
14 14392
14 19837
14 20071
14 10622
14 4328
14 8002
14 4502
14 21323
14 1187
14 8004
14 3695
14 17866
14 10418
14 13511
14 14666
14 21157
14 10182
14 2075
14 14164
14 10109
14 2684
14 17325
14 10426
14 18216
14 16534
14 9745
14 1943
14 10641
14 20655
14 3128
14 9105
14 5994
14 7301
14 2327
14 11315
14 8389
14 18858
14 5398
14 12017
14 16630
15 15507
15 18689
18 9220
18 20276
18 11804
18 11323
18 5458
18 9677
18 11644
18 3259
18 2224
18 8139
18 14497
18 16615
18 961
18 8232
18 5943
18 17163
18 15174
18 11498
18 7966
18 20435
18 14597
18 2442
18 16071
18 10611
18 5622
18 1209
18 20938
18 3279
18 10468
18 15531
18 5046
18 12842
18 4502
18 16524
18 14547
18 16895
18 9525
18 17984
7427 1901
7427 916
7427 7502
7427 6219
7427 6173
7427 19493
7427 12609
7427 18527
7427 21787
7427 18886
7427 4320
7427 15425
7427 4064
7427 6980
7427 21809
7427 8038
7427 8057
7427 3342
7427 2416
7427 3821
7427 15543
7427 12169
7427 10126
7427 436
7427 4045
7427 6686
7427 1063
7427 10231
7427 17357
7427 6696
7427 14249
7427 347
7427 9905
7427 9151
7427 5951
7427 13530
7427 1710
7427 15188
7427 4246
7427 9104
7427 9594
22 17818
22 4106
22 6540
22 3964
22 10633
22 15690
22 14179
22 15129
22 4670
22 4794
22 5215
22 7470
22 14027
22 19111
22 10959
22 11609
22 15868
22 10393
22 897
22 15368
22 7781
22 11816
22 21221
22 1189
22 11488
11196 7750
11196 7216
26 18024
26 6290
26 22177
26 2509
26 10544
26 18368
26 17848
26 13602
26 14409
26 16994
26 19957
26 7139
26 12458
26 17354
26 8734
26 3270
26 7694
26 8763
26 3798
26 8788
26 8149
26 18153
26 4948
26 3779
26 6264
26 18949
26 14768
26 9235
26 18725
26 7460
31 12972
31 13716
31 21598
31 17090
31 13783
31 17350
31 1722
32 1703
32 16417
32 17252
32 19252
32 19222
32 18703
32 12869
32 10041
32 9839
32 9248
32 1783
32 4858
32 8531
32 22330
32 19574
32 7095
32 9986
32 14790
32 8636
32 7347
32 10757
32 9849
32 5619
32 20280
32 7041
32 17833
32 6622
32 19700
32 8766
32 14832
32 120
32 20983
32 2157
32 13003
32 6083
32 4075
32 10496
32 22467
32 1024
37 3270
37 6290
37 22177
37 17354
37 10544
37 8149
37 17848
37 18153
37 14409
37 18024
37 3779
37 19957
37 8788
37 9235
37 4948
37 7460
38 2124
38 14944
38 1381
38 783
38 14205
39 11260
39 18037
39 18217
39 19387
39 13130
39 14454
39 4225
39 19271
39 3864
39 8977
39 21630
41 16635
41 14796
41 6095
41 1200
41 19010
41 19667
41 922
41 13584
41 21163
41 18515
41 8669
41 19458
41 11815
41 19307
43 4163
43 4518
43 10503
43 10997
43 2422
43 1273
43 13418
43 19101
43 14109
43 1750
43 188
43 21626
43 13415
47 6686
47 1125
47 5207
47 22277
47 630
47 1503
47 19436
47 9275
47 12516
47 3409
47 16155
50 197
50 8606
50 14031
50 12993
50 9379
50 19388
50 5280
50 13576
50 20153
50 3530
50 17694
50 15969
50 19743
50 7320
50 21729
50 10707
50 9240
50 14213
50 6441
50 3695
54 13755
54 14402
54 12462
54 19426
54 14260
54 9248
56 496
56 9642
56 4779
56 13197
56 18853
56 6096
56 5057
56 20024
56 1339
56 3935
56 20781
56 18970
56 723
56 4305
56 7951
56 20538
56 3695
8677 20924
8677 21713
8677 9759
8677 18289
8677 4190
8677 21055
8677 20257
8677 6041
8677 9850
8677 12831
8677 7108
8677 6720
8677 22230
8677 326
8677 20879
8677 8837
8677 21917
8677 3094
8677 15749
8677 10439
8677 16291
8677 22052
8677 17247
8677 19654
72 1901
72 17641
72 14205
72 10372
72 1381
72 6728
72 13015
72 10701
72 19743
72 9275
72 21729
72 16552
72 783
72 10379
72 18016
72 11460
72 11817
72 7460
74 20744
74 6337
74 2359
74 16299
74 12007
74 10436
74 12437
74 18827
74 19474
74 18440
74 16721
74 17307
74 17922
74 6348
74 15213
74 9039
74 6844
74 15502
74 6920
74 4630
74 8452
74 3731
74 3487
74 1327
74 8523
75 14497
75 14659
75 19027
75 8014
75 2442
75 16895
75 11244
80 17170
80 11904
80 8426
80 16636
80 17500
80 12568
81 6766
81 13464
81 13157
81 17253
81 13600
81 6588
81 17300
81 486
81 4235
81 16303
81 8483
81 5778
81 19574
81 13400
81 8852
81 3199
81 12190
81 20927
81 7967
81 16761
81 21344
81 3204
81 14577
81 2232
81 10444
81 5029
81 7499
81 626
81 17536
81 21178
81 5823
81 22245
81 18075
81 7295
81 13582
81 3781
81 17897
81 14809
81 6335
81 12095
81 14998
83 16490
83 18859
83 10642
83 3553
83 5937
83 21048
83 7068
83 5617
83 16688
83 15090
85 17912
85 19729
85 13899
85 9982
85 21327
85 1586
87 2409
87 13525
88 7550
88 11657
88 16988
88 18015
88 5587
88 22171
88 13958
88 13264
88 19743
88 8243
88 19476
88 840
88 18971
88 14181
88 19870
88 14272
88 17460
88 7535
88 12500
88 1047
88 14115
88 21729
88 16648
88 679
88 20653
88 8482
88 7961
88 19795
88 15785
88 16968
88 10379
88 16520
88 8519
88 19992
88 16186
88 1271
88 17370
88 8049
88 14166
88 5307
88 22208
88 16977
88 20827
88 12175
88 7467
88 21088
90 11341
90 14154
90 20433
90 3735
90 6057
90 5919
90 15110
90 6171
90 19347
90 19941
90 11260
90 15236
90 11007
90 6347
90 19135
90 9113
90 4453
90 9319
90 8025
90 16560
90 4499
90 8883
90 17988
90 18906
90 20909
90 1123
90 16895
7437 14653
7437 19491
94 767
94 1901
94 8606
94 14181
94 21573
94 12896
94 22171
94 6409
94 1372
94 1047
94 19743
94 4499
94 5212
94 21729
94 21985
94 6916
94 18825
94 16032
94 17391
94 21588
98 18123
98 1282
98 1283
98 17667
98 6091
98 17229
98 18187
98 16155
98 16290
98 3154
98 10779
98 729
98 9284
98 6536
98 20592
22374 1901
22374 11657
22374 14181
22374 3502
22374 5808
22374 5458
22374 3735
22374 2096
22374 22171
22374 8606
22374 6470
22374 19743
22374 14031
22374 927
22374 6409
22374 18825
22374 18512
22374 19347
22374 20067
22374 4499
22374 10614
22374 6347
22374 18432
22374 5382
22374 12500
22374 14192
22374 15110
22374 20024
22374 13445
22374 21729
22374 6481
22374 12740
22374 3073
22374 21013
22374 16741
22374 2856
22374 9784
22374 13821
22374 6993
22374 20951
22374 5748
22374 21212
22374 3935
22374 11177
22374 13899
22374 10426
22374 10379
22374 6116
22374 12458
22374 12459
22374 17299
22374 14802
22374 20047
22374 5307
22374 17148
22374 1372
22374 20781
22374 4786
22374 15749
22374 11957
22374 19553
22374 12452
22374 5212
22374 517
22374 3491
22374 17866
22374 5228
100 11266
100 15008
100 4420
100 3705
100 8807
100 17321
100 1503
100 20462
100 7750
100 21338
104 10057
104 13755
104 6612
104 19115
104 10095
104 14260
104 4323
104 13783
104 17350
104 5570
104 12972
104 15150
104 20756
104 21598
104 10731
104 10458
104 9574
104 1722
104 20261
104 21527
104 22134
104 17090
104 19677
104 12027
104 15103
110 9239
110 13194
110 3735
110 6083
110 18825
110 3731
110 15408
110 13294
110 8509
110 21088
110 16721
112 10426
112 19743
112 15313
112 21729
112 17866
22282 3636
22282 11187
22282 1658
22282 19540
22282 13239
22282 10347
22282 5339
22282 1877
22282 16823
22282 6181
120 16417
120 17252
120 11229
120 4633
120 12936
120 1783
120 7749
120 22330
120 3902
120 9839
120 9849
120 7041
120 4075
120 17833
120 12869
120 13003
120 6622
120 14790
121 8086
121 15280
121 16098
121 3628
121 7411
121 13234
121 10285
121 15643
123 8606
123 375
123 14181
123 130
123 10617
123 19483
123 6829
123 21708
123 14562
123 16968
123 10379
123 14245
123 343
123 2496
123 21663
123 20844
123 8540
123 13719
123 14192
123 22316
123 6189
123 2822
123 19093
123 8473
123 17296
123 17426
123 14895
130 9367
130 4147
130 375
130 14181
130 10912
130 11467
130 18288
130 9053
130 19743
130 21708
130 8519
130 2565
130 10379
130 9934
130 18714
130 1617
130 3797
130 8540
130 14192
130 22316
130 18721
130 18744
130 7066
130 21729
130 17296
133 1901
133 7026
133 14031
133 6045
133 715
133 14685
133 9074
133 5325
133 19743
133 19757
133 1087
133 6107
133 17692
133 18062
133 21729
133 17697
133 10426
133 17791
133 14403
133 1979
133 21033
133 22443
133 9632
133 8482
133 1053
133 17099
133 11894
133 17231
133 6137
133 9389
133 18216
133 19432
133 19289
133 12283
133 8790
133 10926
133 5093
133 3229
133 21588
133 15012
136 5187
136 3533
136 10511
136 2170
136 1964
136 7165
14864 160
14864 13439
14864 170
14864 18717
14864 370
14864 9021
14864 9620
14864 386
143 19777
143 16470
143 10261
147 9367
147 16564
147 1658
147 16823
147 3641
147 11187
147 2972
147 3262
147 10347
147 5339
147 11942
147 6181
148 12654
148 11846
148 7833
148 10047
148 6562
148 3066
148 21671
148 14981
148 18886
148 3342
154 729
154 3457
157 11213
157 19492
157 5183
157 7735
157 15223
157 14900
157 7164
157 21254
157 11280
157 15114
157 13875
157 1827
157 16408
157 21213
157 10947
157 5695
157 3630
157 11389
157 13297
157 12332
157 8367
157 20632
157 19889
157 5518
157 18906
157 10578
157 1701
157 20291
159 18777
159 9220
159 4399
159 11323
159 5458
159 9525
159 4461
159 14996
159 9677
159 14497
159 8869
159 6806
159 19573
159 3584
159 961
159 983
159 2442
159 159
159 4518
159 10799
159 12408
159 15174
159 12088
159 9294
159 2981
159 9125
159 18645
159 7325
159 16073
159 19777
159 15531
159 21740
159 10789
159 11289
159 11538
159 4502
159 14045
159 15773
159 16895
159 18168
159 17984
160 9620
160 170
160 18717
160 17080
160 6775
160 9021
160 13439
160 386
163 3731
163 822
163 7968
163 18872
165 9973
165 2271
165 10803
165 19973
165 3492
165 12375
165 7755
165 9729
165 13263
165 8054
165 14648
165 13101
165 17480
165 3131
165 3174
165 16868
165 21635
165 7663
165 21605
165 11319
166 18121
166 5538
166 21676
169 5878
169 20481
170 18717
170 9620
170 13439
171 8482
171 20937
171 7258
171 14174
171 8302
171 9319
173 1169
173 710
173 20879
173 1817
173 5632
173 15151
173 7364
173 12851
173 10436
173 8572
173 22080
173 20342
173 10241
173 9176
173 17386
173 17216
173 6552
173 15647
173 6677
173 3469
173 19594
173 12495
173 6719
173 18105
173 14400
173 1094
173 10439
173 21764
173 1078
173 16960
173 12450
173 17540
173 15763
173 19380
173 15749
173 5255
173 8819
173 4670
173 8874
173 13294
173 7383
173 2242
173 9160
173 21120
173 12461
173 18974
173 7015
173 10783
173 6802
173 11734
173 17598
173 13382
173 18577
173 18856
173 8932
173 22052
173 522
177 3928
177 8544
181 21328
181 10102
181 2927
181 17416
181 18744
182 3062
182 16193
182 1912
182 6633
182 20210
182 17377
182 9496
182 7789
182 12987
182 19588
183 22010
183 9684
183 5460
183 6866
183 300
183 15195
183 11794
183 5639
183 14173
183 3150
188 4163
188 13418
188 2422
188 1750
188 10503
188 8216
188 14109
188 17172
188 21626
188 1273
3771 11174
192 19631
196 21674
196 7362
196 2405
196 1960
196 5562
196 659
196 5580
196 1503
196 16153
196 11166
196 12039
196 15506
196 8691
196 4071
196 19767
196 20444
196 22041
196 10553
196 13478
196 3678
196 20699
196 478
196 13929
196 18126
196 5496
196 12183
196 16028
196 3705
196 3451
196 2644
196 18701
196 9731
196 4483
196 7750
196 6608
197 14031
197 12135
197 8216
197 5938
197 14875
197 11363
197 5325
197 14341
197 1025
197 10702
197 20252
197 19347
197 614
197 2186
197 7083
197 1914
197 12665
197 13441
197 1683
197 21895
197 22008
197 9972
197 21729
197 6993
197 17940
197 10426
197 3867
197 17051
197 13106
197 2583
197 20173
197 5183
197 13709
197 5019
197 2461
197 5748
197 2078
197 5931
197 6137
197 20276
197 10578
197 21013
197 10781
197 14213
197 12598
197 21663
197 12621
197 11389
197 5451
197 9356
197 6750
197 12714
197 19553
197 1068
197 6175
197 5361
197 18677
197 3757
197 18963
197 20156
197 1330
197 9910
197 5458
197 4873
197 11401
197 11231
197 5280
197 19743
197 9117
197 18913
197 18512
197 21838
197 17780
197 17221
197 496
197 6347
197 15721
197 16746
197 19137
197 7453
197 927
197 11336
197 7460
197 5843
197 16560
197 6551
197 3382
197 16869
197 16220
197 12899
197 8606
197 14661
197 15481
197 13476
197 13576
197 6441
197 12269
197 6473
197 17866
197 338
197 18906
197 5212
197 4112
197 4779
197 20559
197 17694
197 18734
197 12993
197 2991
197 11430
197 3630
197 18454
197 17464
197 17197
197 18810
197 15223
197 21385
197 4786
197 14842
197 10208
206 10886
